noncompliance,股东权益/负债合计_EquTotLia,股东类别_SHType,每股收益(元/股)_BasicEPS,每股经营活动现金流量(元/股)_OpeCFPS,营业利润/营业总收入()_OpePrTOR,净利润()_NetPrf,有形净值债务率(%)_DbTanEquRt,每股现金及现金等价物余额(元/股)_CCEPS,资产负债率(%)_DbAstRt,经营现金净流量(元)_NOCF,股东总户数(户)_SHNum,利润总额增长率(%)_TotPrfGrRt,营业收入增长率(%)_OpeIncmGrRt,户均持股数(股/户)_AvgHS,每股资本公积金(元/股)_CapSurFdPS,股东权益周转率(次)_EquRat,产权比率(%)_DbEquRt,权益乘数(%)_EquMul,营业收入3年复合增长率(%)_OperaInc3GrRt
0.0,37.1526,0,0.29,-1.1605,2.6944,353915619.8,345.8992,1.6461,72.7207,-1458047918.26,41832.0,-10.2941,8.7097,30033.0,3.8006,2.0282,266.5788,3.6658,12.6639
0.0,191.8559,0,0.0765,0.1076,9.2029,22801981.68,56.7402,1.6276,34.2105,32084318.27,32824.0,-74.7966,-26.508,9082.0,0.0405,0.3522,52.0,1.52,39.6471
0.0,65.094,1,0.382,-0.5776,8.8111,376138128.42,263.9679,0.6974,59.8033,-569026523.06,65152.0,389.9312,137.6505,15122.0,1.4553,1.6477,148.7763,2.4878,36.0498
0.0,316.5262,0,0.74,0.8165,43.55,278026789.53,33.5086,0.5191,24.0081,308630046.3,4.0,34.2538,27.1958,94500000.0,0.001,1.1751,31.593,1.3159,31.0773
0.0,772.5953,0,0.72,0.3837,38.354,79980334.99,13.0949,1.4261,11.4601,46049537.14,7590.0,-4.8923,0.267,15810.0,1.5552,0.6581,12.9434,1.1294,9.2313
0.0,56.2725,0,0.4849,0.3728,7.5448,136915960.52,425.6086,0.6569,63.6574,143022025.03,11191.0,4234.1811,179.685,34283.0,4.4971,1.3081,175.1592,2.7516,61.2517
0.0,437.8161,0,0.1707,0.1648,10.4273,50635453.88,28.5332,0.9802,18.2558,52973661.95,19783.0,1.5188,31.5483,16248.0,0.9191,0.8415,22.3329,1.2233,17.4174
0.0,27.8886,1,0.215,1.2363,17.0061,4363509194.37,385.7115,0.1751,72.211,24293311302.15,922791.0,-16.3715,-11.669,21295.0,0.326,1.1192,259.8543,3.5985,-4.1316
0.0,269.9938,0,0.06,0.6264,-1.8457,11663484.64,43.0259,2.6228,26.9403,125748769.56,11567.0,-78.2449,-3.14,17355.0,3.0469,0.8969,36.8744,1.3687,0.8341
0.0,22.3666,1,0.19,-4.246,15.1325,46043467.39,1355.0812,1.2873,69.5507,-1027527909.47,16858.0,29.5351,-22.7183,14355.0,1.4612,1.2067,228.4144,3.2841,-2.5611
